iter	Passed	Remaining
0	58	5778
1	59	2910
2	60	1952
3	61	1475
4	62	1190
5	63	996
6	64	858
7	65	756
8	66	675
9	67	611
10	69	560
11	70	516
12	71	479
13	72	446
14	73	417
15	74	392
16	75	369
17	76	349
18	77	331
19	78	315
20	79	300
21	80	286
22	81	274
23	82	261
24	83	251
25	84	241
26	86	233
27	87	224
28	88	215
29	88	207
30	89	199
31	90	192
32	91	185
33	92	178
34	93	173
35	94	167
36	95	162
37	96	157
38	97	152
39	98	147
40	99	142
41	99	137
42	100	133
43	101	129
44	103	126
45	104	122
46	104	118
47	105	114
48	106	111
49	107	107
50	108	104
51	109	100
52	110	97
53	110	94
54	111	91
55	112	88
56	113	85
57	114	82
58	115	79
59	115	77
60	116	74
61	117	72
62	118	69
63	119	67
64	121	65
65	121	62
66	122	60
67	123	58
68	124	55
69	125	53
70	126	51
71	127	49
72	128	47
73	129	45
74	129	43
75	130	41
76	131	39
77	132	37
78	133	35
79	134	33
80	135	31
81	136	29
82	137	28
83	138	26
84	139	24
85	140	22
86	140	21
87	142	19
88	142	17
89	143	15
90	144	14
91	145	12
92	146	11
93	147	9
94	148	7
95	148	6
96	149	4
97	150	3
98	151	1
99	152	0
